RBT-80 per-season series, conventional population, all nine arms.
Committed so sections 1, 3 and 5 of the report are re-derivable by
someone other than the author (adversary finding 7; RBT-86).
No genomes are shipped: these are aggregate per-season numbers only.

## mean_lifetime_score by season  (section 3: yield = seeded - control)

season A:seeded   A:control  A:drift    B:seeded   B:control  B:drift    C:seeded   C:control  C:drift   
   153     0.9982     0.7286     0.1411     1.0025     0.6526     0.1557     1.0637     0.6315     0.1553
   154     1.0532     0.7487     0.1449     1.0140     0.6795     0.1541     1.0556     0.6456     0.1459
   155     1.0245     0.7200     0.1270     1.0051     0.6406     0.1627     1.0908     0.6280     0.1518
   156     1.0215     0.7414     0.1243     1.0067     0.6538     0.1733     1.1141     0.6110     0.1474
   157     0.9819     0.7119     0.1254     0.9907     0.6945     0.1919     1.1044     0.6373     0.1446
   158     1.0049     0.6888     0.1265     1.1050     0.7091     0.1811     1.0834     0.6403     0.1451
   159     1.0417     0.7200     0.1175     1.0706     0.7320     0.1930     1.1199     0.6689     0.1332
   160     0.9843     0.7621     0.1233     1.0234     0.6875     0.1808     1.0969     0.6477     0.1126
   161     0.9969     0.7021     0.1571     0.9882     0.6328     0.1887     1.0922     0.6517     0.1051
   162     1.0271     0.6723     0.1628     0.9974     0.6585     0.1878     1.1351     0.6785     0.1012
   163     1.0474     0.6594     0.1689     1.0399     0.6270     0.1886     1.1622     0.6891     0.1005
   164     1.0191     0.6475     0.1556     1.0517     0.6408     0.1770     1.1324     0.6583     0.1066
   165     1.0092     0.6886     0.1134     1.0270     0.5855     0.1805     1.1281     0.6366     0.0651
   166     1.0034     0.6513     0.1641     0.9766     0.6425     0.2786     1.1290     0.6376     0.0554
   167     0.9718     0.6672     0.2119     0.9861     0.6171     0.2582     1.1328     0.6151     0.0680
   168     0.9604     0.6548     0.2914     1.0542     0.7134     0.2628     1.1127     0.6363     0.0432
   169     0.9889     0.6590     0.2496     0.9759     0.6598     0.3432     1.0914     0.6395     0.0770
   170     0.9147     0.6421     0.2783     1.0369     0.6817     0.3200     1.0624     0.6478     0.0704
   171     0.9320     0.6516     0.2138     1.0521     0.6123     0.3003     1.0490     0.6259     0.1543
   172     1.0129     0.6252     0.1993     0.9812     0.6402     0.3111     1.0543     0.6385     0.0977
   173     1.0165     0.6120     0.2023     0.9514     0.6103     0.3440     1.0109     0.6077     0.0905
   174     0.9779     0.6672     0.1706     1.0466     0.5785     0.3700     1.0455     0.7160     0.0287
   175     0.9659     0.6858     0.1430     1.0097     0.6220     0.3812     1.0526     0.6950     0.0179
   176     1.0998     0.6834     0.1209     0.9934     0.5557     0.3703     1.0132     0.5983     0.0356
   177     1.1861     0.6438     0.1559     0.9334     0.5602     0.3106     0.9983     0.6295     0.1144
   178     0.9347     0.6591     0.1598     0.8801     0.5667     0.2840     0.8748     0.6506     0.0887
   179     1.0236     0.7478     0.2058     0.9390     0.5795     0.3394     0.9297     0.7422     0.0067
   180     0.9520     0.6837     0.1883     1.0577     0.6423     0.3513     0.8991     0.7546     0.0898
   181     0.8914     0.6910     0.2792     1.0877     0.6258     0.3584     1.0399     0.7069     0.0343
   182     0.9505     0.6339     0.2451     0.9875     0.6393     0.3486     0.9618     0.7505     0.0459
   183     0.9139     0.7088     0.2828     1.0713     0.6572     0.3595     0.9506     0.6728     0.0741
   184     0.8884     0.7652     0.3179     0.9937     0.6849     0.4078     1.0142     0.7167     0.0736
   185     0.9262     0.6855     0.3162     0.9949     0.6202     0.4121     1.0080     0.6295     0.0576
   186     1.0428     0.6775     0.2836     0.9930     0.5907     0.4130     0.9841     0.6403     0.0757
   187     1.1131     0.6937     0.2779     0.9089     0.6066     0.4245     1.1755     0.6076     0.0626
   188     1.0905     0.7117     0.2721     0.9837     0.6915     0.4184     1.3370     0.6730     0.1104
   189     1.1283     0.7720     0.2450     1.0588     0.7370     0.4273     1.2541     0.7317     0.1090
   190     1.3119     0.6934     0.2548     1.0641     0.7305     0.4324     1.1991     0.7723     0.0947
   191     1.2327     0.7168     0.2518     1.0674     0.6832     0.4148     1.2891     0.6763     0.0707
   192     1.1501     0.6797     0.2551     1.0215     0.6301     0.4033     1.2670     0.6452     0.0617
   193     1.1415     0.6284     0.2648     1.0953     0.6384     0.4135     1.2614     0.6129     0.0716
   194     1.1195     0.6458     0.2582     1.0142     0.6534     0.4190     1.1534     0.6594     0.0696
   195     1.1085     0.5886     0.2630     1.0258     0.5979     0.4353     1.1255     0.6622     0.0768
   196     1.0947     0.5837     0.2608     1.0292     0.6349     0.4409     1.0906     0.6575     0.0817
   197     1.1136     0.6385     0.2693     0.9792     0.6821     0.4454     1.0867     0.6405     0.0826
   198     1.1186     0.6590     0.2873     1.0744     0.5807     0.4528     1.0628     0.6576     0.0851
