generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
83	906912206		0.524696	0.435563	1.426908	4	15.340000	0.834502	0.417838	0.278183	5	15.337000				
84	32629649		0.540265	0.451403	1.214206	6	15.340000	0.917875	0.307193	0.041887	5	15.337000				
85	1529395687		0.549295	0.410331	1.389426	6	15.340000	0.548558	0.496047	1.195047	5	15.337000	0.479329	19	31	50
86	1096111766		0.579679	0.435794	1.098774	4	15.340000	0.807989	0.421748	0.280669	5	15.337000				
87	1065911811		0.584640	0.448648	1.214607	6	15.340000	0.528477	0.463949	0.999447	5	15.337000				
88	263766440		0.576539	0.407568	0.887117	4	15.340000	0.659458	0.487155	0.903415	5	15.337000				
89	310582779		0.626534	0.436250	1.289204	4	15.340000	0.887386	0.353874	0.061542	5	15.337000				
90	148172408		0.585920	0.427556	1.268443	4	15.340000	0.941676	0.404350	0.090466	5	15.337000	0.221915	0	50	50
91	1276018201		0.589347	0.405277	1.069331	4	15.340000	0.882758	0.314764	0.112436	5	15.337000				
92	488740215		0.661909	0.421531	1.999726	2	14.927000	0.969690	0.630201	0.338985	5	15.337000				
93	848174663		0.587816	0.484581	1.402233	12	15.340000	0.970170	0.506063	0.017191	5	15.337000				
94	2039811205		0.558794	0.430850	1.418119	12	15.340000	0.866283	0.347075	0.200947	5	15.337000				
95	1238422610		0.602684	0.420265	1.394438	12	15.340000	0.966036	0.422284	0.027504	5	15.337000	0.237844	6	44	50
96	1583923780		0.560491	0.427365	1.380557	12	15.340000	0.961614	0.427885	0.051154	5	15.337000				
97	1105724694		0.530310	0.420429	1.416386	12	15.340000	0.932958	0.598095	0.255435	5	15.337000				
98	1242954044		0.525527	0.437675	1.338509	8	15.340000	0.843441	0.336753	0.083078	5	15.337000				
99	313444827		0.515000	0.425782	1.480412	11	15.340000	0.764754	0.473030	0.371161	5	15.337000				
100	1836213633		0.515000	0.453113	1.480412	11	15.340000	0.843084	0.347613	0.207453	5	15.337000	0.185680	0	50	50
101	168927514		0.589996	0.429215	1.028426	10	15.340000	0.898106	0.476135	0.163542	5	15.337000				
102	1268578138		0.597311	0.352479	1.270484	10	15.340000	0.943147	0.470301	0.079382	5	15.337000				
103	1416914553		0.730798	0.339634	0.781714	10	15.340000	0.833906	0.378550	0.231904	5	15.337000				
104	805492208		0.688571	0.485514	1.390680	14	15.340000	1.000000	0.754645	1.418826	5	15.337000				
105	1467070033		0.577124	0.460048	1.403949	14	15.340000	0.944734	0.350710	0.106372	5	15.337000	0.303153	7	43	50
106	718255066		0.613499	0.382994	1.105438	14	15.340000	0.976573	0.493338	0.012334	5	15.337000				
107	1317323921		0.655462	0.372206	1.115809	14	15.340000	0.923710	0.215137	0.063880	5	15.337000				
108	1814470997		0.629176	0.365316	1.067425	14	15.340000	0.901174	0.240015	0.062568	5	15.337000				
109	1605090240		0.664374	0.390581	1.060651	14	15.340000	0.903110	0.341785	0.695526	5	15.337000				
110	1574855177		0.525437	0.411196	1.215945	6	15.340000	1.000000	0.456771	1.190398	5	15.337000	0.445495	11	39	50
111	239905786		0.686965	0.436636	0.538274	14	15.340000	0.888777	0.449678	0.116265	5	15.337000				
112	332858563		0.769488	0.277386	0.528233	14	15.340000	0.974129	0.556213	0.116905	5	15.337000				
113	612522365		0.639594	0.265001	0.664337	14	15.340000	0.926227	0.322592	0.041560	5	15.337000				
114	779589945		0.828691	0.258397	0.420399	14	15.340000	0.803009	0.483208	0.169030	5	15.337000				
115	1001586509		0.684470	0.331546	0.673303	14	15.340000	0.983102	0.565608	0.021868	5	15.337000	0.245277	4	46	50
116	620306324		0.734987	0.395314	0.779582	14	15.340000	0.964637	0.487522	0.053480	5	15.337000				
117	1987168962		0.747122	0.295827	0.404170	14	15.340000	0.796985	0.446073	0.219781	5	15.337000				
118	1567944562		0.701959	0.353976	0.618792	14	15.340000	0.865468	0.418856	0.206442	5	15.337000				
119	483115133		0.643411	0.313807	1.020982	14	15.340000	1.000000	0.415450	0.193530	5	15.337000				
120	2114755260		0.662564	0.276070	0.811368	14	15.340000	0.913765	0.590546	0.075595	5	15.337000	0.241733	6	44	50
121	233030102		0.687606	0.333781	0.499858	14	15.340000	0.971558	0.271864	0.027454	5	15.337000				
122	494783582		0.583200	0.325177	0.927708	14	15.340000	0.758978	0.457259	0.216336	5	15.337000				
123	717928701		0.693833	0.237542	0.571814	14	15.340000	0.992085	0.571167	0.173964	5	15.337000				
124	329754771		0.629910	0.365174	0.818101	14	15.340000	0.845901	0.439838	0.136592	5	15.337000				
125	195585533		0.531031	0.315404	1.202322	3	14.935000	0.888904	0.388531	0.137666	5	15.337000	0.292582	8	42	50
126	1436343364		0.677681	0.407778	0.573413	14	15.340000	0.855521	0.398492	0.110997	5	15.337000				
127	1059033466		0.509387	0.263761	0.928006	14	15.340000	0.793651	0.577609	0.245499	5	15.337000				
128	1594652549		0.693051	0.238332	0.891244	14	15.340000	1.000000	0.468630	0.301073	5	15.337000				
129	1404116376		0.783485	0.169332	0.551486	14	15.340000	0.837719	0.452201	0.093009	5	15.337000				
130	999959294		0.757181	0.229894	0.641341	14	15.340000	0.943787	0.513388	0.026479	5	15.337000	0.590189	27	23	50
131	1938057588		0.629157	0.305925	0.442164	14	15.340000	0.751793	0.483581	0.392512	5	15.337000				
132	177143913		0.608817	0.295171	1.068818	14	15.340000	0.742947	0.492285	0.346696	5	15.337000				
133	1859767033		0.911578	0.197318	0.287678	14	15.340000	0.738221	0.488857	0.227751	5	15.337000				
134	722660703		0.783936	0.297094	0.596876	14	15.340000	0.881141	0.586420	0.104898	5	15.337000				
135	1399533748		0.865026	0.211240	0.148692	14	15.340000	0.904813	0.548220	1.492578	5	15.337000	0.570278	22	28	50
136	206891675		0.730116	0.197247	0.229933	11	15.340000	0.969436	0.595839	0.136327	5	15.337000				
137	612684355		0.393053	0.275105	1.794799	14	15.340000	0.847958	0.448657	0.083976	5	15.337000				
138	2015871148		0.581096	0.463299	1.256658	10	15.340000	0.943874	0.579204	1.280001	5	15.337000				
139	439619904		0.600775	0.399908	1.329796	10	15.340000	0.772684	0.413466	0.252025	5	15.337000				
140	564366625		0.549386	0.429854	1.516659	10	15.340000	0.719733	0.399132	0.392938	5	15.337000	0.282120	0	50	50
141	986842923		0.541341	0.428083	1.182241	9	15.340000	0.842656	0.429742	0.206855	5	15.337000				
142	1640371193		0.604418	0.436124	0.855647	13	15.340000	0.934325	0.403610	1.342660	5	15.337000				
143	75493431		0.578783	0.485697	1.073605	16	15.340000	1.000000	0.435301	1.320259	5	15.337000				
144	1955028466		0.564735	0.385014	1.031125	16	15.340000	0.954875	0.578261	1.085210	5	15.337000				
145	1141553478		0.487871	0.381235	1.998268	9	15.340000	0.896815	0.423910	0.171505	5	15.337000	0.457083	20	30	50
146	1329986410		0.866060	0.526852	0.309042	14	15.340000	0.965400	0.434573	0.015771	5	15.337000				
147	1504179500		0.760720	0.463890	0.984848	16	15.340000	0.738212	0.347612	0.149163	5	15.337000				
148	297983926		0.585997	0.484881	2.002811	6	15.340000	0.959409	0.415461	0.017397	5	15.337000				
149	1215742577		0.575286	0.499576	1.478606	12	15.340000	0.901446	0.498916	0.051199	5	15.337000				
150	1288082508		0.538812	0.427318	1.523021	12	15.340000	0.939495	0.526698	1.487231	5	15.337000	0.512475	24	26	50
151	207951675		0.569932	0.445992	1.184193	12	15.340000	0.958062	0.434678	1.002635	5	15.337000				
152	1801719166		0.577130	0.413232	1.168113	12	15.340000	0.972973	0.591793	0.046487	5	15.337000				
153	741455630		0.751119	0.382069	0.436278	5	15.340000	0.870817	0.396064	0.073794	5	15.337000				
154	921901239		0.713379	0.236708	0.471095	5	15.340000	0.814126	0.421877	0.209909	5	15.337000				
155	1288564015		0.666572	0.393118	0.916676	4	15.340000	0.966988	0.499527	0.363312	5	15.337000	0.281294	6	44	50
156	5924566		0.571001	0.354856	0.663307	5	15.340000	0.979198	0.417560	0.008931	5	15.337000				
157	72999271		0.608468	0.311627	0.845086	16	15.340000	0.722329	0.571652	0.361861	5	15.337000				
158	650404859		0.870228	0.626449	1.253267	5	15.340000	0.982203	0.607373	0.007597	5	15.337000				
159	2140619020		0.795704	0.285979	0.572622	5	15.340000	1.000000	0.605323	0.894830	5	15.337000				
160	785316632		0.791772	0.319189	0.520222	5	15.340000	0.905878	0.538823	0.120087	5	15.337000	0.299332	10	40	50
161	378326486		0.621362	0.406571	1.199473	5	15.340000	0.735058	0.418278	0.436879	5	15.337000				
162	132374161		0.479326	0.284701	1.382630	5	15.340000	0.931116	0.447372	1.124353	5	15.337000				
163	1520276142		0.596213	0.346010	1.083345	12	15.340000	0.688471	0.506612	0.444790	5	15.337000				
164	1256832607		0.627730	0.457437	1.346074	5	15.340000	0.897713	0.487094	0.114315	5	15.337000				
165	2118782080		0.768132	0.247166	0.516333	5	15.340000	0.742042	0.493762	0.165253	5	15.337000	0.192117	0	50	50
166	1800652837		0.647736	0.344770	0.809017	5	15.340000	0.707730	0.296119	0.322022	5	15.337000				
167	84027103		0.751281	0.333871	0.639768	5	15.340000	0.875597	0.560298	0.161663	5	15.337000				
168	2111445310		0.731441	0.369766	0.553416	10	15.340000	0.689868	0.449419	0.546475	5	15.337000				
169	1977027118		0.634289	0.372016	0.662700	10	15.340000	0.964912	0.611403	0.015458	5	15.337000				
170	1577079999		0.695954	0.472416	0.979492	5	15.340000	0.938716	0.312675	0.097855	5	15.337000	0.340782	11	39	50
171	1135123363		0.604130	0.444812	1.903838	5	15.340000	0.893249	0.505249	0.056199	5	15.337000				
172	1769576466		0.590505	0.498606	1.320246	13	15.340000	0.579909	0.490208	0.354415	5	15.337000				
173	1623684551		0.566725	0.442646	1.243537	13	15.340000	0.845320	0.502797	0.196126	5	15.337000				
