# RBT-101 positive-control table, seed 804: C0 alive at 139, P alive at 300; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at b0bbcda141 (345/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors
P	conventional	ce642	0.000000	35.715057	1	1.000000	34.715057	0.500000	35.215057	-	-	ce365
P	conventional	ce644	0.000000	22.980469	1	1.000000	23.980469	0.500000	23.480469	-	-	ce373,ce375
P	conventional	ce645	0.000000	36.955886	1	1.000000	37.100354	0.500000	36.600354	-	-	ce365
P	conventional	ce649	0.000000	25.147683	1	1.000000	26.147683	0.500000	25.647683	-	-	ce371,ce373,ce375
P	conventional	ce650	0.000000	24.885674	1	1.000000	23.885674	0.500000	24.385674	-	-	ce373,ce375,ce379,ce380
P	conventional	ce655	0.000000	45.897996	1	1.000000	44.897996	0.500000	45.397996	-	-	ce380,ce391,ce396
P	conventional	ce656	0.000000	34.294398	1	1.000000	35.294398	0.500000	34.794398	-	-	ce379,ce380,ce392
P	conventional	ce657	0.000000	31.157738	1	1.000000	32.157738	0.500000	31.657738	-	-	ce371,ce373,ce375
P	conventional	ce661	0.000000	38.316497	1	1.000000	39.316497	0.500000	38.816497	-	-	ce392
P	conventional	ce663	0.000000	21.323619	1	1.000000	22.271993	0.500000	21.771993	-	-	ce371,ce373,ce375
P	conventional	ce664	0.000000	37.606540	1	1.000000	38.606540	0.500000	38.106540	-	-	ce334
P	conventional	ce666	0.000000	46.169372	1	1.000000	47.169372	0.500000	46.669372	-	-	ce370,ce378,ce396
P	conventional	ce669	0.720919	26.220060	1	1.720919	25.520920	1.220919	25.720060	-	-	ce373,ce375,ce380,ce391,ce396
P	conventional	ce672	0.000000	23.525813	1	1.000000	22.525813	0.500000	23.025813	-	-	ce371,ce373,ce375
P	conventional	ce673	0.000000	40.070122	1	1.000000	39.266661	0.500000	39.668391	-	-	ce365
P	conventional	ce674	0.000000	47.201757	1	1.000000	47.917257	0.500000	47.417257	-	-	ce396
P	conventional	ce677	0.000000	29.279524	1	1.000000	28.279524	0.500000	28.779524	-	-	ce371,ce373,ce375
P	conventional	ce678	0.000000	22.881799	1	1.000000	23.881799	0.500000	23.381799	-	-	ce373,ce375
P	conventional	ce679	0.000000	27.967905	1	1.000000	28.967905	0.500000	28.467905	-	-	ce371,ce373,ce375,ce392
P	conventional	ce682	0.000000	40.983830	1	1.000000	39.983830	0.500000	40.483830	-	-	ce396
P	conventional	ce683	0.274630	39.169382	1	1.274630	40.169382	0.774630	39.669382	-	-	ce373,ce375
P	conventional	ce684	0.000000	28.439662	1	1.000000	27.439662	0.500000	27.939662	-	-	ce394
P	conventional	ce685	0.000000	31.190268	1	1.000000	32.190268	0.500000	31.690268	-	-	ce371,ce373,ce375
P	conventional	ce687	0.000000	24.565899	1	1.000000	24.524337	0.500000	23.488060	-	-	ce370,ce378,ce396
P	conventional	ce688	0.000000	21.763800	1	1.000000	22.763800	0.500000	22.263800	-	-	ce370,ce378,ce396
P	conventional	ce689	0.000000	34.069398	1	1.000000	35.069398	0.500000	34.569398	-	-	ce373,ce375
P	conventional	ce690	2.021685	24.899905	1	3.021685	24.693981	2.521685	24.399905	-	-	ce380,ce391
P	conventional	ce691	0.000000	53.169682	1	1.000000	54.169682	0.500000	53.669682	-	-	ce396
P	conventional	ce694	0.000000	38.483766	1	1.000000	37.483766	0.500000	37.983766	-	-	ce392,ce394
P	conventional	ce695	2.658644	25.342184	1	3.658644	26.342184	3.158644	25.842184	-	-	ce370,ce378,ce379,ce380,ce396
