population	name	born	body
conventional	ce302	82	064cde1b95c2
holistic	he258	83	a819330f1e14
holistic	he259	83	3baa936b0c5b
holistic	he260	83	586ab7c4a393
holistic	he261	83	38c9125728a4
holistic	he262	83	c407d6aecdd5
holistic	he263	83	180acf594e32
conventional	ce303	83	064cde1b95c2
conventional	ce304	83	064cde1b95c2
conventional	ce305	83	064cde1b95c2
conventional	ce306	83	064cde1b95c2
holistic	he264	84	c503a69330a1
holistic	he265	84	98b84cac816e
holistic	he266	84	1a5380218ab4
holistic	he267	84	10a6b2ddba9f
holistic	he268	84	e737625d34a4
holistic	he269	84	a734963bbe62
holistic	he270	85	11c719c1b315
holistic	he271	85	ac8f02adaa23
holistic	he272	85	9ba50552f70c
conventional	ce307	85	064cde1b95c2
conventional	ce308	85	064cde1b95c2
conventional	ce309	85	064cde1b95c2
conventional	ce310	85	064cde1b95c2
conventional	ce311	86	064cde1b95c2
conventional	ce312	86	064cde1b95c2
conventional	ce313	86	064cde1b95c2
holistic	he273	87	6014d724ab1d
holistic	he274	87	dc758a83efdf
holistic	he275	87	c7369d0e10ef
holistic	he276	87	d0b65abbb964
holistic	he277	87	47cb017b1bc3
holistic	he278	87	222c3854f79a
holistic	he279	87	1d9dbed947bd
conventional	ce314	87	064cde1b95c2
conventional	ce315	87	064cde1b95c2
conventional	ce316	87	064cde1b95c2
holistic	he280	88	7c13fae0defa
holistic	he281	88	8e11f2bbf5a1
holistic	he282	88	fdd4f3d609f6
conventional	ce317	88	064cde1b95c2
conventional	ce318	88	064cde1b95c2
holistic	he283	89	daa942d2d8dc
holistic	he284	89	e4938b4de14f
conventional	ce319	89	064cde1b95c2
conventional	ce320	89	064cde1b95c2
conventional	ce321	89	064cde1b95c2
holistic	he285	90	52d9a76abfa5
holistic	he286	90	c96f2e1328f8
holistic	he287	91	b4b0f46864bf
holistic	he288	91	98c984b79016
holistic	he289	91	788a54cd247d
holistic	he290	91	4d47f9646380
holistic	he291	91	3951ebb6c367
holistic	he292	91	48d3724edb91
conventional	ce322	91	064cde1b95c2
holistic	he293	92	a5fc9e9b0451
holistic	he294	92	ad56716d8e46
conventional	ce323	92	064cde1b95c2
conventional	ce324	92	064cde1b95c2
holistic	he295	93	1b26d2bb8aae
holistic	he296	94	788a54cd247d
conventional	ce325	94	064cde1b95c2
conventional	ce326	94	064cde1b95c2
conventional	ce327	94	064cde1b95c2
conventional	ce328	94	064cde1b95c2
holistic	he297	95	7a27a726c9ba
holistic	he298	95	c65c95f2590c
holistic	he299	95	e5bf87c66a40
conventional	ce329	95	064cde1b95c2
conventional	ce330	95	064cde1b95c2
holistic	he300	96	1d9dbed947bd
conventional	ce331	96	064cde1b95c2
conventional	ce332	97	064cde1b95c2
conventional	ce333	97	064cde1b95c2
conventional	ce334	97	064cde1b95c2
conventional	ce335	97	064cde1b95c2
holistic	he301	98	9ee0ba723889
holistic	he302	98	b7d0300dea96
holistic	he303	98	2096e58e04e1
holistic	he304	98	a90770b5f2f3
conventional	ce336	98	064cde1b95c2
holistic	he305	99	222c3854f79a
conventional	ce337	99	064cde1b95c2
conventional	ce338	99	064cde1b95c2
conventional	ce339	99	064cde1b95c2
