RBT-107 design adversary: power of the directional (one-sided) tests the coordinator asked for, on the design's own
measured null, with its heavy tail kept, and the n each needs.
null rows (seed: A_NB co-evolved, designed) from design_power.txt: 1: +0.380 +0.027, 2: +0.006 +0.225, 3: +1.153 -0.374, 4: +0.125 +0.045, 7: -0.019 -0.108, 801: -0.034 +0.055, 804: -0.082 -0.134, 805: +0.031 +0.198, 806: +0.066 +0.081, 807: +0.000 -0.049
RMS co-evolved 0.388 (no seed 3: 0.139); designed 0.166; paired co - des 0.506 (no seed 3: 0.159); corr(co, des) across seeds -0.66
smoothing bandwidth (co-evolved, designed): 0.036, 0.074; no seed 3: 0.029, 0.064

== DES  null EMPIRICAL  d~240 as measured
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.051    0.043    0.052    0.012    0.025
   +0.00  15    0.049    0.046    0.054    0.018    0.026
   +0.00  20    0.054    0.052    0.054    0.022    0.022
   +0.00  30    0.054    0.052    0.056    0.052    0.029
   +0.00  40    0.047    0.046    0.052    0.039    0.025
   +0.15  10    0.409    0.369    0.396    0.145    0.278
   +0.15  15    0.533    0.525    0.532    0.278    0.389
   +0.15  20    0.639    0.641    0.644    0.407    0.519
   +0.15  30    0.817    0.810    0.811    0.729    0.707
   +0.15  40    0.908    0.907    0.909    0.813    0.838
   +0.20  10    0.580    0.543    0.569    0.261    0.434
   +0.20  15    0.745    0.732    0.736    0.476    0.623
   +0.20  20    0.855    0.844    0.845    0.639    0.757
   +0.20  30    0.952    0.949    0.950    0.904    0.913
   +0.20  40    0.988    0.987    0.985    0.952    0.973
   +0.27  10    0.796    0.759    0.768    0.440    0.663
   +0.27  15    0.929    0.916    0.910    0.724    0.858
   +0.27  20    0.980    0.976    0.969    0.863    0.950
   +0.27  30    0.998    0.998    0.997    0.988    0.995
   +0.27  40    1.000    1.000    1.000    0.998    0.999
   +0.35  10    0.939    0.917    0.907    0.635    0.867
   +0.35  15    0.993    0.991    0.983    0.896    0.978
   +0.35  20    0.999    0.999    0.998    0.968    0.997
   +0.35  30    1.000    1.000    1.000    1.000    1.000
   +0.35  40    1.000    1.000    1.000    1.000    1.000

== PAIRED  null GAUSS  scaled to d=800 (x1.83)
   delta  n        t   wilcox   yuen20     sign   2s-int   (power; delta 0 row = size)
   +0.00  10    0.048    0.040    0.061    0.011    0.024
   +0.00  15    0.055    0.053    0.064    0.020    0.028
   +0.00  20    0.050    0.048    0.053    0.022    0.026
   +0.00  30    0.054    0.053    0.057    0.056    0.028
   +0.00  40    0.049    0.050    0.056    0.042    0.026
   +0.15  10    0.123    0.103    0.130    0.030    0.066
   +0.15  15    0.143    0.133    0.146    0.052    0.079
   +0.15  20    0.170    0.161    0.167    0.069    0.101
   +0.15  30    0.210    0.198    0.200    0.165    0.128
   +0.15  40    0.260    0.255    0.247    0.177    0.168
   +0.20  10    0.144    0.128    0.153    0.038    0.085
   +0.20  15    0.184    0.172    0.181    0.063    0.106
   +0.20  20    0.234    0.225    0.225    0.099    0.145
   +0.20  30    0.307    0.292    0.287    0.233    0.204
   +0.20  40    0.376    0.360    0.349    0.261    0.262
   +0.27  10    0.219    0.184    0.209    0.059    0.130
   +0.27  15    0.287    0.271    0.270    0.112    0.181
   +0.27  20    0.330    0.319    0.310    0.154    0.230
   +0.27  30    0.463    0.441    0.421    0.347    0.339
   +0.27  40    0.556    0.538    0.511    0.378    0.428
   +0.35  10    0.289    0.252    0.271    0.081    0.187
   +0.35  15    0.396    0.375    0.357    0.165    0.272
   +0.35  20    0.485    0.465    0.444    0.231    0.352
   +0.35  30    0.637    0.616    0.584    0.488    0.511
