population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
conventional	ce372	141	1.549683	22.009428	1	14	7	3.740943	2.622017	7.919728	7.726740	0	0
conventional	ce373	141	0	18.109779	0	14	7	2.873479	4.276736	5.251727	5.707837	0	0
holistic	he303	142	0	0	0	0	3	0	0	0	0	0	0
conventional	ce374	142	0	22.177820	0	14	7	3.839433	2.176928	6.855788	9.305671	0	0
conventional	ce375	142	0	28.442643	0	14	7	4.489292	7.622690	6.617360	9.713301	1.934007	0
conventional	ce376	142	0	21.996568	0	14	7	2.023245	1.731249	10.545978	7.696096	0	0
conventional	ce377	142	0	21.193515	0	14	7	5.632204	2.435990	5.862065	7.263256	0	0
holistic	he304	143	0	0	0	0	2	0	0	0	0	0	0
holistic	he305	143	0	0	0	0	0	0	0	0	0	0	0
holistic	he306	143	0	0	0	0	3	0	0	0	0	0.171763	0
holistic	he307	143	0	0	0	0	3	0	0	0	0	0	0
holistic	he308	143	0	0	0	0	3	0	0	0	0	0	0
conventional	ce378	143	0	22.559125	0	14	7	3.291644	3.485587	8.097543	7.684351	0	0
conventional	ce379	143	0	20.091613	0	14	7	5.783885	3.430191	6.821378	4.056159	0.224369	0
holistic	he309	144	0	0	0	0	2	0	0	0	0	0	0
holistic	he310	144	0	0	0	0	10	0	0	0	0	0.566744	0
holistic	he311	144	0	0	0	0	2	0	0	0	0	0	0
conventional	ce380	144	1.549683	16.297804	1	14	7	1.765868	2.635210	6.926861	4.969865	0	0
conventional	ce381	144	0	16.507414	0	14	7	0.682867	3.154219	5.942287	6.728041	0.429709	0
conventional	ce382	144	0	34.050467	0	14	7	4.523106	8.389044	13.659041	7.479276	0	0
conventional	ce383	144	0	25.811486	0	14	7	2.744036	4.909033	9.154177	9.004240	0	0
conventional	ce384	144	0.615844	17.753501	1	14	7	1.441003	3.645923	6.632033	6.034542	0.895487	0
conventional	ce385	144	0	21.563352	0	14	7	1.396617	4.246608	7.325888	8.594239	0.622029	0
conventional	ce386	144	0	28.110857	0	14	7	4.528636	1.796641	11.145509	10.640071	0.224369	0
conventional	ce387	144	0	28.052572	0	14	7	4.251250	4.372104	10.651995	8.777223	0	0
conventional	ce388	144	0	28.686369	0	14	7	5.120729	7.116173	5.818739	10.630728	0	0
holistic	he312	145	0	0	0	0	3	0	0	0	0	0	0
holistic	he313	145	0	0	0	0	2	0	0	0	0	0	0
holistic	he314	145	0	0	0	0	0	0	0	0	0	0	0
holistic	he315	145	0	0	0	0	2	0	0	0	0	0	0
conventional	ce389	145	0	12.629923	0	14	7	0.986668	1.981058	5.856451	3.805746	0	0
holistic	he316	146	0	0	0	0	3	0	0	0	0	0.403676	0
holistic	he317	146	0	0	0	0	0	0	0	0	0	0	0
