generation	terrain_seed	start_seed	h_best	h_mean	h_best_distance	h_best_parts	h_best_mass	c_best	c_mean	c_best_distance	c_best_parts	c_best_mass	champ_holistic_mean	champ_holistic_wins	champ_conventional_wins	champ_bouts
156	1338078996		0.628840	0.478508	1.976382	16	15.340000	0.938866	0.500903	0.030803	5	15.337000				
157	1071051858		0.652007	0.487463	1.056115	10	15.340000	0.992548	0.533715	0.039651	5	15.337000				
158	571856810		0.723010	0.461038	2.177003	14	15.340000	0.946366	0.546764	0.061750	5	15.337000				
159	1032522238		0.552365	0.505324	1.762365	10	15.340000	0.723610	0.367963	0.431134	5	15.337000				
160	1217809127		0.647368	0.481645	1.926293	14	15.340000	0.976290	0.590571	0.151907	5	15.337000	0.458988	21	29	50
161	1219777713		0.514367	0.492137	1.820604	8	15.340000	0.823127	0.233997	0.201680	5	15.337000				
162	851587835		0.517834	0.489404	1.877366	10	15.340000	0.575452	0.417141	0.615272	5	15.337000				
163	72484160		0.505912	0.483932	1.833769	8	15.340000	0.939436	0.580251	0.212200	5	15.337000				
164	1319740583		0.673840	0.499833	0.975360	10	15.340000	1.000000	0.339945	1.015352	5	15.337000				
165	1132469140		0.560864	0.485470	1.878256	10	15.340000	1.000000	0.602092	0.965722	5	15.337000	0.274266	2	48	50
166	1715834680		0.587936	0.489066	1.316158	16	15.340000	1.000000	0.713206	0.550181	5	15.337000				
167	712055365		0.583881	0.458610	1.994868	16	15.340000	0.899553	0.443399	0.113942	5	15.337000				
168	2037038356		0.564922	0.466440	1.574390	16	15.340000	0.908941	0.407552	0.067804	5	15.337000				
169	1208273184		0.528174	0.455105	1.411036	10	15.340000	0.988177	0.515209	0.015689	5	15.337000				
170	1967220125		0.603812	0.513117	1.954845	10	15.340000	0.672392	0.483989	0.644064	5	15.337000	0.334441	0	50	50
171	214028905		0.542325	0.497936	1.700551	10	15.340000	0.761810	0.402266	0.336947	5	15.337000				
172	1967984652		0.525227	0.461633	1.774562	10	15.340000	0.939379	0.453216	0.029627	5	15.337000				
173	1292028089		0.509886	0.463118	1.747346	10	15.340000	0.886325	0.508712	0.102851	5	15.337000				
174	177581752		0.505220	0.463752	1.778019	10	15.340000	0.925561	0.471552	1.296368	5	15.337000				
175	1153817222		0.557915	0.472913	1.390452	16	15.340000	0.628723	0.518890	0.332703	5	15.337000	0.185154	0	50	50
176	900629173		0.625970	0.493493	1.886941	9	15.340000	0.883852	0.435226	0.085438	5	15.337000				
177	1328966065		0.550202	0.480240	1.716836	12	15.340000	0.622544	0.505728	0.859119	5	15.337000				
178	506489853		0.682966	0.534514	1.570120	12	15.340000	0.766937	0.449428	0.168183	5	15.337000				
179	704081802		0.567796	0.451226	1.609904	12	15.340000	0.965813	0.483369	0.016098	5	15.337000				
180	118099231		0.571177	0.445069	1.365571	12	15.340000	0.748487	0.531578	0.179804	5	15.337000	0.379579	3	47	50
181	4462285		0.711144	0.410882	1.142638	12	15.340000	0.899410	0.419484	0.042317	5	15.337000				
182	386066920		0.682415	0.405228	1.298558	12	15.340000	0.720596	0.450054	0.478364	5	15.337000				
183	899016325		0.636809	0.408403	1.158747	12	15.340000	0.780892	0.499316	0.185017	5	15.337000				
184	1652353212		0.870974	0.444723	0.263803	12	15.340000	0.867850	0.581036	0.209814	5	15.337000				
185	101100482		0.638093	0.507071	1.644478	12	15.340000	0.810407	0.511929	0.380391	5	15.337000	0.324001	5	45	50
186	670087483		0.543681	0.469938	1.488481	12	15.340000	0.964132	0.571484	0.052591	5	15.337000				
187	361526093		0.651513	0.423791	1.314487	12	15.340000	0.917425	0.480218	0.037565	5	15.337000				
188	1819575412		0.577799	0.404915	1.581069	12	15.340000	0.837615	0.546310	0.104498	5	15.337000				
189	1833674167		0.602162	0.416211	1.468963	12	15.340000	0.903522	0.498313	0.116614	5	15.337000				
190	477370923		0.506705	0.400942	1.311776	12	15.340000	0.842232	0.475870	0.098758	5	15.337000	0.270460	1	49	50
191	1219794593		0.546800	0.423808	1.469100	12	15.340000	0.954078	0.466372	0.056520	5	15.337000				
192	1546101406		0.596059	0.415874	1.255311	12	15.340000	0.860325	0.454199	0.098258	5	15.337000				
193	2008720994		0.646791	0.405761	1.385679	12	15.340000	0.858752	0.517138	0.112074	5	15.337000				
194	16373375		0.614173	0.409125	1.258872	12	15.340000	0.898049	0.555788	0.132640	5	15.337000				
195	1836695584		0.533671	0.391354	1.392636	12	15.340000	0.862481	0.450976	0.087096	5	15.337000	0.103704	0	50	50
196	1712783168		0.737554	0.397765	1.301469	12	15.340000	0.861180	0.513956	0.157865	5	15.337000				
197	1436345112		0.617677	0.422236	0.856232	12	15.340000	0.733565	0.279925	0.219352	5	15.337000				
198	1829705736		0.541703	0.367854	1.029602	12	15.340000	0.963750	0.490562	0.043661	5	15.337000				
199	1799145707		0.570100	0.406043	1.132692	12	15.340000	1.000000	0.837193	1.428256	5	15.337000				
200	787679905		0.506288	0.371153	1.055988	12	15.340000	0.903397	0.404256	0.050794	5	15.337000	0.206919	0	50	50
201	1313674017		0.520712	0.384085	1.058041	12	15.340000	0.987327	0.476558	0.478947	5	15.337000				
202	1751692751		0.534158	0.380090	1.020679	12	15.340000	0.784266	0.353854	0.126304	5	15.337000				
203	61916130		0.538813	0.373488	1.065274	12	15.340000	0.849642	0.271471	0.119330	5	15.337000				
204	302553383		0.502442	0.384504	1.057949	12	15.340000	1.000000	0.472046	1.128245	5	15.337000				
205	137677919		0.535784	0.361872	0.946157	12	15.340000	1.000000	0.419273	1.174587	5	15.337000	0.343026	6	44	50
206	1431571476		0.500044	0.371090	1.105967	12	15.340000	0.844155	0.509582	4.113322	5	15.337000				
207	1640189493		0.606832	0.386908	2.218334	12	15.340000	1.000000	0.757036	0.295569	5	15.337000				
208	365588520		0.648785	0.470424	1.104239	12	15.340000	0.800445	0.420004	0.295786	5	15.337000				
209	903389646		0.649493	0.358627	1.264810	12	15.340000	0.993056	0.642367	0.129441	5	15.337000				
210	1584810122		0.660219	0.373938	1.003044	12	15.340000	0.893325	0.480493	0.056737	5	15.337000	0.203503	2	48	50
211	256939200		0.557093	0.410360	1.135218	12	15.340000	0.945418	0.391819	0.083163	5	15.337000				
212	1630831637		0.649266	0.449892	0.578670	12	15.340000	0.806291	0.474503	0.196725	5	15.337000				
213	1876086396		0.645015	0.453551	1.795898	12	15.340000	0.901973	0.395313	0.086392	5	15.337000				
214	1871454455		0.658244	0.481534	0.935623	12	15.340000	0.887622	0.275951	0.147454	5	15.337000				
215	2105676235		0.653732	0.442917	1.525443	12	15.340000	1.000000	0.513282	1.365951	5	15.337000	0.335347	9	41	50
216	2033089267		0.697629	0.489622	1.014546	10	15.340000	0.911690	0.545433	0.110680	5	15.337000				
217	1945639925		0.748056	0.563641	1.804585	12	15.340000	0.754357	0.428567	0.224042	5	15.337000				
218	496174836		0.719652	0.491721	0.744097	14	15.340000	0.962562	0.546737	0.702277	5	15.337000				
219	566763996		0.825561	0.501663	0.497683	14	15.340000	1.000000	0.657638	0.838609	5	15.337000				
220	1527670295		0.673752	0.452630	1.399837	14	15.340000	0.928643	0.648913	0.141121	5	15.337000	0.134200	0	50	50
221	1268491507		0.720847	0.487617	1.321279	12	15.340000	0.981774	0.367419	0.025737	5	15.337000				
222	1634067359		0.603759	0.505680	1.295051	10	15.340000	0.792781	0.373461	0.486081	5	15.337000				
223	1356717792		0.715118	0.537276	1.933242	14	15.340000	0.994647	0.537992	0.358348	5	15.337000				
224	1245300160		0.569395	0.502752	1.973694	14	15.340000	0.952781	0.388689	0.066222	5	15.337000				
225	145249198		0.605064	0.504972	2.168343	10	15.340000	0.781760	0.439509	0.098154	5	15.337000	0.179722	5	45	50
226	632467079		0.668185	0.517196	1.042243	6	15.340000	0.898857	0.376829	0.153446	5	15.337000				
227	1581580763		0.655467	0.393081	1.109351	6	15.340000	0.800252	0.391483	0.348315	5	15.337000				
