population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	he94	14	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he95	14	0	0	0	0	7	0	0	0	0	2.592787	0
holistic	he96	14	0	0	0	0	14	0	0	0	0	0	0
conventional	ce115	14	0	24.648961	0	14	7	3.936487	2.124692	11.532250	7.055532	1.723692	0
conventional	ce116	14	0	21.342558	0	14	7	4.810623	2.087400	8.133358	6.311177	0	0
conventional	ce117	14	0	20.376905	0	14	7	1.453127	1.208329	10.510537	7.204912	0	0
conventional	ce118	14	0	18.743520	0	14	7	2.303372	0.793020	10.205485	5.441643	0	0
holistic	he97	15	0	0	0	0	9	0	0	0	0	0	0
holistic	he98	15	0	0	0	0	8	0	0	0	0	0	0
holistic	he99	15	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he100	15	0	0	0	0	3	0	0	0	0	0.099456	0
conventional	ce119	15	0	23.530258	0	14	7	2.098981	2.547328	12.791401	6.092548	0	0
conventional	ce120	15	0	20.597816	0	14	7	3.952868	2.865678	7.128918	6.650352	0	0
conventional	ce121	15	0	15.841132	0	14	7	2.093065	3.581887	8.601300	1.564880	0	0
conventional	ce122	15	0	33.241302	0	14	7	0.455552	11.061041	13.275146	8.449563	0	0
holistic	he101	16	0	0	0	0	7	0	0	0	0	3.377669	0
holistic	he102	16	0	0	0	0	0	0	0	0	0	0	0
holistic	he103	16	0	0	0	0	3	0	0	0	0	0.099456	0
conventional	ce123	16	0	19.912417	0	14	7	3.181627	3.409492	5.234704	8.086594	0	0
conventional	ce124	16	0	39.839829	0	14	7	4.430260	1.622661	22.549816	11.237092	0	0
holistic	he104	17	0	0	0	0	3	0	0	0	0	0.099456	0
holistic	he105	17	0	0	0	0	8	0	0	0	0	1.835144	0
holistic	he106	17	0.887638	7.317525	1	6	4	0	0	6.524519	0.793006	0.099456	0
holistic	he107	17	0	0	0	0	3	0	0	0	0	0.099456	0
conventional	ce125	17	0	28.970233	0	14	7	4.520460	2.292511	16.074489	6.082773	0	0
conventional	ce126	17	0	15.334477	0	14	7	2.782328	1.803286	6.304465	4.444398	0	0
conventional	ce127	17	0	22.473991	0	14	7	2.961569	2.259936	9.865729	7.386757	0	0
holistic	he108	18	0	0	0	0	8	0	0	0	0	0.859010	0
holistic	he109	18	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he110	18	0	0	0	0	8	0	0	0	0	0	0
holistic	he111	18	0	0	0	0	4	0	0	0	0	0.099456	0
holistic	he112	18	0	0	0	0	3	0	0	0	0	0.112188	0
holistic	he113	18	0	0	0	0	8	0	0	0	0	0	0
holistic	he114	18	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	he115	18	0	0	0	0	3	0	0	0	0	0.482362	0
holistic	he116	18	0	0	0	0	3	0	0	0	0	0.275299	0
