season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
126	holistic	60	18.2839	59	1	0	0.8176	0.8042	0.8644	0.0468
126	conventional	60	19.6402	59	0	1	1.0521	1.0521	1.5254	0.4734
127	holistic	60	19.0632	59	1	0	1.0467	1.0292	1.1017	0.0550
127	conventional	60	19.3341	56	2	2	1.1258	1.0855	1.6071	0.4814
128	holistic	60	19.5936	60	0	0	0.7804	0.7804	0.8333	0.0529
128	conventional	60	19.7123	60	0	0	0.6283	0.6283	1.1000	0.4717
129	holistic	60	19.7060	59	0	1	0.8261	0.8261	0.8814	0.0552
129	conventional	60	20.1930	58	1	1	0.8273	0.8048	1.2931	0.4658
130	holistic	60	19.7618	59	0	1	0.7988	0.7988	0.8475	0.0487
130	conventional	60	20.0388	58	0	2	0.8860	0.8860	1.3621	0.4761
131	holistic	60	20.3332	59	1	0	0.8371	0.8214	0.8983	0.0612
131	conventional	60	18.7221	57	2	1	0.5670	0.5423	1.0526	0.4856
132	holistic	60	20.5692	59	0	1	1.1349	1.1349	1.1864	0.0515
132	conventional	60	17.9875	58	0	2	0.5582	0.5582	1.0517	0.4935
133	holistic	60	21.1981	60	0	0	0.8789	0.8789	0.9333	0.0544
133	conventional	60	18.1994	58	1	1	0.9238	0.9077	1.4138	0.4900
134	holistic	60	21.7625	60	0	0	0.8144	0.8144	0.8667	0.0523
134	conventional	60	17.5076	57	0	3	0.6198	0.6198	1.1053	0.4855
135	holistic	60	22.5603	59	1	0	1.0656	1.0478	1.1186	0.0531
135	conventional	60	17.8927	57	2	1	0.8708	0.8392	1.3509	0.4801
136	holistic	60	22.3407	59	0	1	0.7691	0.7691	0.8136	0.0445
136	conventional	60	18.3312	58	2	0	0.7174	0.6885	1.2069	0.4895
137	holistic	60	23.0232	59	0	1	1.0281	1.0281	1.0847	0.0566
137	conventional	60	16.8857	52	5	3	0.7245	0.6666	1.2115	0.4870
138	holistic	60	22.3413	58	0	2	0.8772	0.8772	0.9483	0.0711
138	conventional	60	16.2901	56	1	3	1.0696	1.0503	1.5536	0.4840
139	holistic	60	21.3070	57	1	2	0.7644	0.7514	0.8246	0.0601
139	conventional	60	16.8214	56	4	0	0.8510	0.7812	1.3393	0.4883
140	holistic	60	21.9572	59	1	0	0.9152	0.9002	0.9661	0.0509
140	conventional	60	14.7586	57	0	3	0.9215	0.9215	1.4035	0.4820
141	holistic	60	22.4241	60	0	0	0.7169	0.7169	0.7833	0.0665
141	conventional	60	14.8613	60	0	0	0.3528	0.3528	0.8333	0.4806
142	holistic	60	21.7409	57	1	2	0.8957	0.8803	0.9474	0.0517
142	conventional	60	14.8917	57	0	3	1.1786	1.1786	1.6316	0.4530
143	holistic	60	21.6234	56	3	1	0.8185	0.7794	0.8750	0.0565
143	conventional	60	15.0851	56	4	0	0.4697	0.4434	0.9286	0.4589
144	holistic	60	20.3166	58	0	2	0.6671	0.6671	0.7241	0.0570
144	conventional	60	14.1249	58	0	2	0.5289	0.5289	1.0000	0.4711
145	holistic	60	20.1460	58	0	2	0.9122	0.9122	0.9655	0.0533
145	conventional	60	14.6759	57	3	0	0.8505	0.8010	1.3333	0.4828
146	holistic	60	20.4110	55	3	2	0.7448	0.7068	0.8000	0.0552
146	conventional	60	14.3339	58	0	2	0.4912	0.4912	0.9655	0.4743
147	holistic	60	20.2671	56	3	1	1.1591	1.1007	1.2143	0.0552
147	conventional	60	15.1587	58	2	0	1.1174	1.0748	1.6034	0.4861
148	holistic	60	19.6392	57	0	3	1.0633	1.0633	1.1228	0.0595
148	conventional	60	15.5591	58	1	1	0.8605	0.8472	1.3276	0.4671
149	holistic	60	19.5666	58	1	1	0.8395	0.8252	0.8966	0.0571
149	conventional	60	15.8503	58	1	1	0.9989	0.9833	1.4828	0.4838
150	holistic	60	18.6945	56	3	1	0.5302	0.5034	0.5893	0.0591
150	conventional	60	15.1421	59	0	1	0.4548	0.4548	0.9322	0.4774
151	holistic	60	17.8654	56	1	3	0.9905	0.9731	1.0536	0.0631
151	conventional	60	14.5033	56	2	2	1.1224	1.0840	1.6071	0.4847
152	holistic	60	17.8497	58	1	1	0.9191	0.9035	0.9828	0.0637
152	conventional	60	14.9811	58	1	1	0.8228	0.8029	1.3103	0.4875
153	holistic	60	17.1650	57	0	3	0.9419	0.9419	1.0000	0.0581
153	conventional	60	15.5398	58	1	1	1.2169	1.1949	1.7069	0.4900
154	holistic	60	17.3141	56	3	1	0.7106	0.6746	0.7857	0.0751
154	conventional	60	14.2906	54	4	2	0.7467	0.7044	1.2407	0.4941
155	holistic	60	15.7837	56	2	2	1.0101	0.9754	1.0714	0.0613
155	conventional	60	14.1388	56	2	2	0.9718	0.9324	1.4643	0.4925
156	holistic	60	14.6439	57	1	2	0.7357	0.7230	0.8070	0.0713
156	conventional	60	13.6523	59	0	1	0.7351	0.7351	1.2373	0.5022
157	holistic	60	15.1202	57	2	1	0.8914	0.8615	0.9649	0.0735
157	conventional	60	14.1039	55	4	1	1.2619	1.1567	1.7636	0.5018
158	holistic	60	15.7017	57	3	0	0.8741	0.8314	0.9474	0.0733
158	conventional	60	13.2844	57	1	2	0.2951	0.2827	0.7895	0.4943
159	holistic	60	15.7232	57	2	1	0.8614	0.8335	0.9298	0.0685
159	conventional	60	13.6063	55	5	0	0.6285	0.5719	1.1273	0.4987
160	holistic	60	15.9338	59	0	1	0.8670	0.8670	0.9492	0.0821
160	conventional	60	13.8323	59	1	0	0.4852	0.4761	1.0000	0.5148
161	holistic	60	16.2210	57	2	1	1.3050	1.2651	1.3860	0.0809
161	conventional	60	12.8764	57	1	2	0.7323	0.7204	1.2281	0.4958
